inctot,wage_share,business_share,interest_share,dividend_share,retirement_share,socsec_share,rent_share,age,nchild,nchlt5,famsize,filestat,marst,statefip,eff_rate,asecwt
110470,0.995745451253734,0.0,0.004073504118765276,0.0001810446275006789,0.0,0.0,0.0,52,2,0,4,1,1,23,15.846588955904872,847.06
43044,0.0,0.0,0.07071833472725583,0.0,0.0,0.0,0.0,50,2,1,4,1,1,23,-6.954132318748679,826.03
30002,0.9999333377774815,0.0,6.666222251849876e-05,0.0,0.0,0.0,0.0,40,3,0,4,4,4,23,-32.58782747816812,1449.04
33002,0.9999393976122659,0.0,6.0602387734076725e-05,0.0,0.0,0.0,0.0,35,1,0,3,1,1,23,6.66283957704487,1506.53
109949,0.954988221811931,0.0,0.04455702189196809,0.0004547562961009195,0.0,0.0,0.0,44,0,0,2,1,1,23,11.695528904388569,1113.39
72200,0.997229916897507,0.0,0.002770083102493075,0.0,0.0,0.0,0.0,58,0,0,2,1,1,23,6.786703601108034,896.01
57982,0.0,0.0,0.0024490359076954917,0.0,0.1034803904660067,0.3766686212962644,0.0,68,0,0,1,5,6,23,7.933133636100107,1038.99
57892,0.0,0.0,0.09522904719132178,0.03972915083258481,0.017273543840254268,0.35547225868859256,0.0,78,0,0,1,5,6,23,11.226324851731396,1250.15
107552,0.9762719428741446,0.0,0.0237280571258554,0.0,0.0,0.0,0.0,56,0,0,2,1,1,23,14.084233349697268,1734.78
39705,0.9993703563782899,0.0,0.000629643621710112,0.0,0.0,0.0,0.0,45,2,0,4,1,1,23,6.029461185168589,1828.82
17025,0.9985315712187959,0.0,0.0014684287812041115,0.0,0.0,0.0,0.0,19,0,0,4,5,6,23,1.8678414096916296,1843.87
60500,0.3305785123966942,0.0,0.008264462809917356,0.0,0.0,0.0,0.0,64,0,0,3,2,1,23,5.45374449339207,716.94
101105,0.9890707680134514,0.0,0.009940161218535186,0.0009890707680134513,0.0,0.0,0.0,52,1,0,3,5,4,23,14.025974025974024,1728.99
40001,0.9999750006249843,0.0,2.499937501562461e-05,0.0,0.0,0.0,0.0,32,0,0,3,1,1,23,3.074923126921827,1941.49
17880,0.0,0.0,0.0,0.0,0.0,1.0,0.0,64,0,0,2,2,1,23,-1.1714285714285713,1543.78
12873,0.0,0.0,0.1554416219995339,0.0,0.0,0.8445583780004661,0.0,73,0,0,1,5,4,23,0.0,1385.56
42320,0.0,0.4962192816635161,0.005552930056710775,0.0,0.04725897920604915,0.450968809073724,0.0,63,0,0,2,1,1,23,2.506383717182735,1428.03
27745,0.0,0.0,3.604253018561903e-05,0.0,0.0,0.6089745900162191,0.0,85,0,0,1,5,5,23,0.0,1227.9
33008,0.0,0.0,0.09112942317014057,0.9088705768298594,0.0,0.0,0.0,58,1,0,3,1,1,23,6.185041441915538,1623.15
11378,0.9998242221831605,0.0,0.00017577781683951485,0.0,0.0,0.0,0.0,23,0,0,3,5,6,23,0.0,2180.46
25841,0.7933129522851283,0.0,0.04415463797840641,0.0464378313532758,0.11609457838318951,0.0,0.0,74,0,0,2,3,1,23,13.17067259477168,1385.56
56823,0.0,0.0,3.5197015293103144e-05,1.7598507646551572e-05,0.0,0.4075814370941344,0.0,75,0,0,2,5,5,23,0.0,1385.56
28704,0.5225752508361204,0.0,0.0,0.0,0.0,0.4774247491638796,0.0,72,0,0,2,5,4,23,0.0,1385.56
